Area,Y2013,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Log_Food_Production,Happiness_Rank,GDP_Scaled,Predicted,Residual,Abs_Residual,Food_Quantile,Residuals
Spain,81051,30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,4.908763735757603,99,0.983829371996902,5.515224625936121,0.8387753740638795,0.8387753740638795,High,0.8387753740638795
Saudi Arabia,35912,28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,4.555251685522227,100,1.2884519716411535,5.487285346318038,0.8877146536819618,0.8877146536819618,Medium-High,0.8877146536819618
Guatemala,13791,27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,4.139627248480638,101,-0.28152604190998887,5.454437110013559,0.9815628899864413,0.9815628899864413,Medium-Low,0.9815628899864413
Chile,24642,26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,4.391693577036909,102,0.6531706527249367,5.474358783493,0.9696412165070001,0.9696412165070001,Medium-High,0.9696412165070001
France,120542,24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,5.081141995720186,103,1.0827666265822145,5.528848275828582,1.0631517241714175,1.0631517241714175,High,1.0631517241714175
Mexico,166591,23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,5.221654142093123,104,0.4214491880382839,5.539953436585157,1.0550465634148427,1.0550465634148427,High,1.0550465634148427
Malta,826,22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,2.9175055095525466,105,1.0202799394757014,5.357848603430788,1.3681513965692123,1.3681513965692123,Low,1.3681513965692123
United Arab Emirates,13095,21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,4.117138666403885,106,1.548813167918291,5.452659759616484,1.372340240383516,1.372340240383516,Medium-Low,1.372340240383516
Belgium,22268,18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,4.347700715272348,107,1.1660822093908987,5.47088187551993,1.4521181244800703,1.4521181244800703,Medium-High,1.4521181244800703
Germany,158473,17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,5.199958019974841,108,1.210343612758012,5.538238717038576,1.4467612829614245,1.4467612829614245,High,1.4467612829614245
Ireland,10643,16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,4.027104865879351,109,1.5383987200672062,5.445544077064054,1.5754559229359462,1.5754559229359462,Medium-Low,1.5754559229359462
United Kingdom,122946,15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,5.089717936089447,110,1.1061991342471567,5.529526062047765,1.5244739379522354,1.5244739379522354,High,1.5244739379522354
Luxembourg,1218,14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,3.0860037056183818,111,1.8247960359720576,5.3711655984579485,1.7188344015420514,1.7188344015420514,Low,1.7188344015420514
Israel,14263,13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,4.154241330167298,112,0.9577932523691881,5.455592111418272,1.683407888581728,1.683407888581728,Medium-Low,1.683407888581728
Costa Rica,6642,12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,3.8223642524415493,113,0.3277191573785141,5.429362718481772,1.7376372815182277,1.7376372815182277,Low,1.7376372815182277
Australia,43975,11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,4.643215723957674,114,1.2077400007952408,5.494237448416248,1.7337625515837516,1.7337625515837516,High,1.7337625515837516
Austria,18167,10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,4.259307121211679,115,1.2181544486463258,5.463895824155446,1.7821041758445544,1.7821041758445544,Medium-High,1.7821041758445544
Canada,67893,9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,4.831831396047397,116,1.1895147170558409,5.509144397130892,1.7688556028691078,1.7688556028691078,High,1.7688556028691078
New Zealand,7603,8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,3.8810421081934057,117,1.0280907753640152,5.434000232303858,1.8729997676961423,1.8729997676961423,Medium-Low,1.8729997676961423
Sweden,19719,7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,4.294906910605192,118,1.2467941802368114,5.466709398599508,1.876290601400492,1.876290601400492,Medium-High,1.876290601400492
Switzerland,15983,6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,4.203685470881907,119,1.416028957816951,5.459499852814871,2.020500147185129,2.020500147185129,Medium-High,2.020500147185129
Netherlands,35849,5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,4.554489160003819,120,1.2702266879017534,5.487225081289844,2.0007749187101567,2.0007749187101567,Medium-High,2.0007749187101567
Iceland,604,4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2.781755374652469,121,1.2285688964974113,5.347119800905838,2.146880199094162,2.146880199094162,Low,2.146880199094162
Norway,9707,3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,3.987129767659897,122,1.5097589884767206,5.4423847068355995,2.1116152931644008,2.1116152931644008,Medium-Low,2.1116152931644008
Denmark,11589,2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,4.064083435963596,123,1.2363797323857257,5.448466621313317,2.1515333786866826,2.1515333786866826,Medium-Low,2.1515333786866826
Finland,11874,1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,4.074633618296904,124,1.1244244179865566,5.4493004387009725,2.3196995612990277,2.3196995612990277,Medium-Low,2.3196995612990277
